1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
28671.8125,29314.74609,29440.85938,29063.33789,29360.96875,30174.12305,30077.74023,29922.83984,29666.66211,29311.9043,29174.08789,29140.95703,28960.42188,28852.26172,28696.82031,28623.33594,28428.81445,28444.02148,28509.16406,28576.93945,28690.82813,28805.27734,28823.06445,28819.60352,28940.01172,29212.89063,29264.33594,29779.60938,30514.01563,31501.02344,32453.73242,33696.64844,35012.74609,36420.02344,37169.67578,37820.16016,38490.63281,38923.21875,39355.4375,39703.74609,39891.90625,40397.20313,40680.70313,41086.63281,41175.1875,41910.73828,41576.02734,40928.14844,39414.38672,39268.65234,39117.46875,38902.41406,38993.92969,39681.63281,39616.39063,39672.82813,39686.10938,39515.33984,39439.31641,39250.92578,38709.44922,38469.33203,38458.42969,38136.04688,38062.37891,37970.76172,38212.96094,38321.69531,38463.40234,38846.37109,38974.4375,38660.26953,38571.79297,38711.90234,38764.39844,38703.79688,37952.83203,37715.44922,37480.90234,37027.66406,36821.85938,36727.97266,36259.46875,36345.375,36022.57422,35669.14063,35178.38281,34529.06641,33809.77734,33726.21094,32971.90234,32461.62695,31582.86133,31043.29297,30339.41797,29999.82422
29966.8418,30771.66992,31023.70703,30996.07813,30848.09375,31879.61914,31865.20898,31733.26758,31490.9707,31416.95313,31222.36328,30953.02539,30951.03125,30650.83203,30654.78906,30426.13086,30285.53125,30599.24609,30456.85156,30406.30273,30616.33789,30729.40625,30775.72656,31158.13672,31515.55859,32316.13867,33007.60938,33817.05078,34441.53906,35849.71484,36187.05469,37137.40234,37869.16406,39202.68359,40042.21875,40831.45313,41292.89453,41503.92188,41599.99609,41983.42578,41755.33594,41945.40625,42126.26953,42329.21484,42273.21875,42196.54688,42332.05078,41442.1875,39940.83203,39722.55469,39671.67578,39429.04688,39704.42578,40157.71094,40403.14453,40458.37891,40570.99219,40628.69531,40397.79688,40170.64844,39951.02344,39552.39063,39257.37109,39210.3125,38958.17578,39012.78125,39081.05078,39228.78906,39540.63281,39611.96875,39448.73047,39262.62109,39495.76172,39561.70313,39445.77344,39275.23828,38719.75,38159.02734,37745.79688,37362.96094,37489.17969,36911.60938,36652.72656,36891.24609,36638.29688,36306.40625,35875.48828,35107.51563,34432.14063,34562.27344,33869.31641,33116.74219,32283.12109,31822.85156,31423.01172,30909.8457
30761.63867,31649.27344,32013.91406,32127.78516,31938.70508,32610.13086,32654.24023,32526.05859,32627.27344,32039.91406,31939.10156,31764.35547,31462.19141,31529.62891,31277.16406,31389.48047,31293.26172,31259.52344,31361.12109,31191.67188,31084.99219,31875.23828,32049.85938,32010.99219,32200.84766,32831.03516,33441.61328,34446.87109,35392.79297,36416.16016,37336.85547,37802.67188,38736.46875,39733.05469,40441.73438,40905.98828,41204.09766,41457.97266,41336.90625,41196.95703,41178.41406,40980.4375,40745.71875,41335.03516,41200,41529.5,40909.74219,40179.97266,38639.04688,38553.91797,38337.41406,38438.28516,38678.19922,39216.70703,39441.96094,39447.52734,39418.25,39241.51172,39167.75391,38796.75781,38568.65234,38152.12109,38002.17188,37890.23828,37818.83594,37844.76953,37941.16016,37962.35938,37929.24609,37973.15625,38039.78125,37832.41406,37960.35156,37940.98047,38587.05859,38186.375,37900.57422,37588.20313,37241.53516,37121.83984,36689.71094,36813.01563,36602.05859,36533.89844,36220.75,35839.26172,35694.53125,35041.35938,34386.32031,34176.39063,33418.36719,32634.20313,32105.96289,31481.92578,30824.73633,30774.7832
30394.63281,31252.46289,31428.98047,31571.10156,31630.12695,32328.66797,32349.10156,32268.11328,31750.28516,31783.58203,31416.43359,31079.94531,31159.24805,30988.99414,31054.71484,30760.12891,30880.10156,30916.06641,30579.92969,31024.41797,30870.51172,31239.70703,31366.39453,31958.86914,31906.17969,32711.55078,33246.50781,34671.97656,35119.49219,36219.54688,36699.86719,37401.4375,38127.9375,39256.16797,39905.01563,40151.15234,40271.94531,40586.86719,40484.29688,40602.40234,40534.48438,40446.03125,40253.64063,40503.26953,40585.90625,40788.33203,40386.8125,39383.16016,38189.76953,37711.52344,37149.94922,37214.62891,37131.5,37572.59766,37933.99219,38112.79297,38101.16406,38160.19922,37962.44141,37650.99219,37275.40625,37012.80078,36780.90234,36830.25391,36720.33984,36414.88672,36534.96484,36540.80078,36382.11328,36757.13281,36494.46875,36872.42969,36732.57422,36951.34375,37474.10156,37061.95703,36410.76563,36454.10938,36152.54688,35738.01953,35688.12891,35713.54297,35972.67188,35645.92578,35584.48438,35408.81641,34563.41016,34255.07031,33402.71484,33225.94141,32665.50781,31821.26172,31179.35938,30649.30469,29899.83594,29453.28711
29485.84375,29826.44336,30056.84766,29970.29688,30081.10156,31012.65625,30868.96875,30723.14063,30348.75586,30118.32031,29777.94141,29420.30078,29562.82031,29366.79297,29135.69336,29291.34766,29130.76758,29039.72656,29073.51563,29266.35547,29192.11328,29601.78125,29633.88281,30053.13281,30325.07813,30806.26563,31596.91797,32906.64063,33566.10547,34583.79297,34939.75,35472.90625,36063.5,37417.30859,37832.89453,38203.72656,38148.96484,38504.80859,38310.42188,38459.66016,38737.10938,38472.95313,38626.87109,38539.52344,38669.74609,38890.70313,38570.33203,37628.58984,36736.76953,36126.26563,35897.84375,35764.00391,35794.36719,36581.58203,36449.54688,37080.49609,36885.94141,36600.48438,36494.95703,36723.59766,36046.875,36035.05078,36116.14063,35991.95313,35811.78906,35593.97656,35672.91406,35842.60938,35639.77344,35789.61328,35486.42969,35573.30469,35985.30469,36164.63281,36655.39453,36468.35156,36105.53516,36163.65234,35488.82813,35030.27344,35023.92578,34906.64063,34870.28125,35096.0625,34685.6875,34464.53516,34037.41406,33497.46875,33052.66016,32633.07227,31811.00781,31232.51172,30600.4668,29799.76563,29166.9375,28651.39844
28892.08789,29172.11133,29095.16406,29164.5625,28933.91797,29888.82422,29890.07031,29589.98828,29265.37891,29045.5625,28614.64063,28691.57617,28441.25195,28336.86133,28362.36328,28040.47852,28062.43164,28303.58398,28127.64063,28160.56055,28299.50781,28380.74609,28761.37109,28755.6875,29171.82422,29813.5,30458.53516,31893.27344,32365.82031,33558.25781,34401.92188,34850.60938,35724.53906,37230.82813,37546.44141,37893.64844,38098.92969,38322.73047,38551.41797,38569.91406,38401.5625,38659.21875,38447.75391,38601.9375,38677.35938,38783.94141,38425.34766,37690.34375,36623.19922,36046.63672,35853.78516,35786.31641,35705.55859,36503.39453,36564.125,36828.9375,36842.94141,36924.52344,36794.60547,36418.61719,36031.81641,36083.70313,35746.25391,35555.59375,35376.68359,35559.17969,35486.64844,35590.18359,35725.47266,36002.58594,36120.14844,36187.97266,36132.05859,36585.08594,36703.3125,36369.66016,36151.26953,35934.67188,35398.53125,35431.98438,35298.85938,34991.19922,35283.20313,35240.10547,34599.96094,34500.78125,34105.0625,33747.22656,33084.47266,32809.73438,32300.22266,31522.55469,31082.0293,30336.18945,29701.91016,29326.04688
29017.58398,29418.72852,29210.54297,29082.38867,28967.13672,29856.21094,29973.74805,29707.59766,29301.70313,28871.40234,28872.57031,28724.90234,28366.41797,28300.69531,28229.15625,27835.76563,27989.25781,28395.74023,28199.03906,28012.75,28220.09375,28569.98438,28480.875,28891.55859,28688.50391,29420.32422,29989.91797,30933.22656,31719.22852,32378.65234,33160.07813,34197.95313,34980.03125,36070.85156,36590.29297,36996.46484,37104.98047,37379.73438,37303.1875,37325.50781,37338.81641,37162.46094,36965.36328,37191.41797,37361.01563,37656.53516,37038.41016,36319.60547,35347.71094,34861.89453,34572.66406,34298.58203,34350.54688,34938.66016,35328.8125,35498.33203,35553.45313,35147.90234,34960.60156,34907.29297,34780.30078,34595.79688,34290.30469,34152.50391,34269.63672,33897.44922,33955.16016,34315.96094,34459.93359,34432.98047,34510.66016,34519.25781,34535.83594,34609.13281,35034.1875,34839.23438,34702.91406,34452.72656,34091.50781,33874.90234,33618.71484,33632.90625,33244.12109,33159.98438,33258.91406,32866.36719,32660.50586,32334.79297,31781.13672,31603.74023,31029.19141,30354.39648,29835.38477,29188.25586,28695.64453,27994.57813
28094.82813,28180.71094,27990.36133,27779.80078,28020.11133,28894.29492,28724.38477,28317.85742,27868.35156,27702.40039,27665.30469,27285.57422,27022.08398,27267.69922,26770.55078,26504.51172,26894.55078,26803.61328,26820.00781,26698.61133,26867.38086,27423.69141,27402.02148,27575.82813,27644.76758,27870.84766,28377.8457,29184.43164,29726.26953,30643.41016,31638.63672,32376.3125,33204.53516,34387.03125,34674.36328,35011.70703,35569.19922,35839.23828,35934.57813,35925.97656,35743.31641,36173.06641,36161.10938,36289.64844,36221.64063,36656.82031,36234.04297,35380.84766,34450.37109,34318.04297,33991.83984,33835.21484,33798.57031,34105.99609,34622.41406,34628.49609,34594.57031,34655.26172,34252.53516,34003.73047,34008.36328,33594.26563,33714.42188,33469.80859,33591.32031,33408.62109,33588.34375,33563.95313,33238.41797,33829.44922,33972.82422,33903.31641,33519.26563,33967.125,34213.57031,34156.35156,33790.83594,33655.51953,33340.83984,32927.25,32775.49219,32618.49609,32665.15625,32628.49609,32320.48828,31927.9375,31673.62891,31189.47656,30327.88477,29775.78516,29423.99023,28816.66211,27584.27734,27234.77344,26936.99609,26433.57227
26297.93945,26743.21484,26533.71875,26522.32422,26869.32422,27354.26172,27026.76172,26908.64844,26555.93359,26548.05859,26181.53906,26313.26367,26211.19531,26044.66406,25997.42188,25394.34375,25513.00781,25610.71484,25677.53125,25809.97461,26021.40625,26163.19141,26178.55273,26760.11719,27131.14258,27799.57031,28754.85547,29702.80664,30298.05859,31465.03125,31612.32227,32386.67773,33300.14063,34396.28906,34980.65625,35217.64844,35624.8125,35665.33203,35695.64453,35603.56641,35669.0625,35939.99219,35691.50781,36076.25781,36035.78125,36225.41406,36046.72656,35351.04688,34506.71094,34086.90234,33908.42188,33559.83203,33518.72656,33849.40625,34019.75391,34298.1875,34383,33891.47656,34129.84766,33977.16406,33720.22656,33764.58984,33559.58594,33352.63672,33212.42969,33064.69141,33082.19141,33405.8125,33152.20703,33466.18359,33227.60938,33395.10938,33509.46875,33247.38281,33485.97656,33436.11719,32881.4375,32490.61719,31996.86133,31618.66602,31543.60156,31311.36914,31326.03516,31483.82813,30989.90234,30567.91211,30367.34961,29707.06836,29188.125,28823.53711,28478.66406,27719.03906,26767.19141,26437.1875,25811.78125,25411.58398
25373.98047,26071.70313,25952.67578,26086.85742,26054.01172,27158.8125,26892.07227,26640.64258,26414.76953,26077.38281,26208.43945,25921.95703,25894.9043,25775.16406,25601.50781,25470.63672,25384.65625,25434.9668,25664.29297,25673.22266,25947.14453,26158.87891,26012.67578,26532.16406,26691.94922,27460.08984,28487.30859,29698.31055,30494.85547,31420.00781,31792.86523,32231.7168,32877.24219,34095.11328,34580.72656,34810.15234,35138.47656,35294.85547,35319.01563,35351.9375,35361.34375,35405.83594,35644.43359,35597.76172,35640.24219,35797.78125,35793.51563,35006.73828,33725.25,33397.69531,33238.50781,33224.23047,33038.75391,33592.29688,33750.23828,33824.65625,33892.125,34057.98438,34275.05469,33842.16797,33784.14844,33500.56641,33187.30078,33331.42188,33270.40234,33354.31641,33548.33984,33534.69531,33273.65625,33722.26953,33862.48438,33977.16406,33804.44531,33845.65234,33934.11719,34029.58594,33317.97266,33332.43359,32694.3125,32497.76563,32498.76172,32059.23438,32102.69922,31943.72852,31814.94922,31725.99805,31291.35547,30701.17578,30148.53125,29801.62109,29434.14648,28277.24219,28047.13672,27582.28125,26806.58398,26499.26172
