1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
25595.89422,24243.29838,23547.38101,23409.01451,23281.72344,23993.07172,23889.07557,23553.74366,23735.97949,23013.79705,23191.76233,22918.44587,22697.38977,22832.30027,22792.47322,22336.91412,22588.21916,22032.83483,22539.05102,22492.78536,22522.99743,22647.91977,22737.15956,23096.36445,22532.13985,23031.83838,23437.58281,23895.41867,24108.82207,24263.69736,25023.1318,25961.36419,26703.72908,27271.78142,27264.59021,26387.72046,26194.80276,26017.14767,25908.87591,26035.72502,25762.83662,25228.84185,25492.8677,25070.58109,24920.67896,24854.64361,25503.08725,25100.39618,24457.57009,24554.89542,23636.42369,23423.78912,23374.82492,22969.58791,23046.69217,23299.81342,23569.00697,23623.24463,23510.73164,24409.50235,24847.59086,25948.39361,26144.07479,26622.54318,27116.34493,25934.97183,26246.39057,26710.90609,27002.45951,27598.38062,28076.34889,28011.69666,27706.80693,27288.17656,26799.56044,26881.88943,26841.57978,27209.786,27452.7316,28225.49235,28412.50926,28978.26819,28888.34097,28929.4205,29101.34387,28540.6469,28020.13816,27689.68556,27182.20378,26888.70907,26605.21648,26051.3489,25799.15973,25146.98586,24720.20056,24394.31083
23893.93118,24478.53809,24567.35784,24240.84767,24242.01457,24894.72667,25156.02459,25265.44075,25431.33983,25318.50449,25514.62076,25512.60767,25509.68492,25396.66856,25395.84125,25249.18101,25297.60777,24960.2776,24407.42648,24296.99275,23920.11618,24348.89496,24282.35977,24842.01405,24978.8418,25728.89012,26539.30175,27378.64122,27216.50847,27172.01982,27596.48384,28037.11878,28174.18341,28849.5035,29851.26402,29838.6198,30345.82134,30786.20395,31063.1202,31450.37514,30275.79905,30189.35185,29662.78682,29206.31838,28935.61794,28543.18996,28297.69194,27007.91584,25575.49046,26165.14627,25008.27872,24048.47234,23337.15164,25156.7334,24245.9331,24763.16496,23769.30336,23616.9486,23107.37306,23945.04874,24095.76478,23207.96254,23515.82041,25518.03175,26772.66112,28588.50643,28620.49017,29058.31917,29065.2286,28586.52881,28993.0936,28978.85899,28583.87992,28225.86863,28987.50745,28614.94392,28717.76505,28457.57426,27951.3607,27812.79057,28001.75069,28559.50798,29191.88815,29442.8049,29473.38277,29430.71867,28929.15739,28695.38081,28069.75052,27912.091,27466.05899,27203.94295,26673.66861,26043.76084,25605.74356,24862.19428
24655.07208,25043.68009,24855.823,24839.4044,24626.64386,25271.15924,25367.74757,25554.24211,25564.86584,25556.27618,25656.04395,25631.81457,25570.37593,26058.19255,25639.10359,25365.27503,24866.65435,24455.51779,24049.53124,23730.76169,23670.66225,23748.36192,24019.55166,24399.84844,24276.45287,25156.40353,25021.52171,25100.93181,24695.58016,25221.84975,25555.82452,26389.88708,26877.97324,27453.07089,27910.63301,27756.18935,27413.47252,26641.0651,25711.76195,24414.19215,23552.05482,22932.87926,21826.89636,20850.08447,20639.98856,20764.1575,20271.34916,19247.0977,17595.48125,17584.43996,17316.90292,17256.48953,17161.21549,18069.49207,18470.9684,19219.28521,19143.41009,19312.39878,19540.71433,20369.18187,20567.5851,20858.72209,22336.54171,23593.79458,24459.36336,24370.12158,24079.21206,24641.0983,24308.77846,24903.20647,25383.20477,25707.32635,25209.04528,25789.53864,25147.43106,24283.68011,24587.59081,24191.34592,24577.39096,24428.30897,24959.02558,25646.20266,26087.35557,26216.17385,26125.82085,26112.69893,25407.83662,25443.17003,24835.78707,24560.239,24211.37555,23972.13918,23446.17913,22799.66034,22475.25016,22190.93923
21986.00902,22313.72259,22397.54148,22274.68191,22220.7476,22887.51911,22673.65173,21907.92245,22284.85346,22342.37551,22038.06519,22099.91843,22354.67017,22328.64981,22121.69139,22070.99224,21921.83605,22014.10801,21715.11766,21535.18288,21934.13764,22809.97984,22992.4889,23105.79512,23288.12455,23942.31252,23686.89643,23744.07757,24304.58532,24600.89463,25499.03558,26374.9624,26849.83488,27765.12534,27875.67281,27252.26138,26816.37357,26421.52435,25691.43288,24485.04659,24066.04836,22409.12767,20699.38416,20563.97334,20099.04268,19574.87431,19202.13596,19907.4996,18927.29797,18366.17322,18370.62625,18866.16898,19207.25121,20724.3563,20793.75222,20739.62954,21089.42558,21288.33591,21832.5151,22236.40209,22411.73542,23271.23013,24385.55665,25446.88368,25369.95896,25783.05036,26270.10543,26757.75758,27076.31409,27656.06896,27937.18036,27839.72909,27875.82613,28034.36545,28443.38162,27894.25412,27794.34688,27428.37888,27853.74126,28103.37231,28222.21492,28356.55281,28592.31152,28873.84447,28887.43767,28601.98098,28085.5762,27870.11137,27388.03538,27217.91293,27092.07193,26724.59268,25992.6093,25183.82455,24812.09643,24420.39351
24070.92956,25037.66835,24989.34022,24931.3147,25324.01207,25409.52089,25785.87689,25832.57362,26236.8484,25968.56211,25813.5349,26228.11619,26138.94678,26129.08121,25726.37865,25879.79243,25357.47281,25115.73973,24634.32359,24631.52494,24391.2117,24643.18569,24480.78995,24914.24199,24933.60249,25501.17031,25536.9907,26113.75171,26634.74833,26995.30434,27539.6554,28322.67513,28689.11105,28842.93806,28997.19199,28071.85737,27416.53721,26696.13735,25929.18935,25031.50274,24068.88879,23645.29871,22145.93316,22105.9875,21409.68134,21025.54964,20887.27107,20147.50059,18328.228,17870.90854,17418.42966,17391.1232,17665.36052,18358.02395,18573.21149,18696.45889,19394.75903,19803.52023,19629.40767,20110.56024,20856.48403,21201.07598,21665.11079,23193.92669,24043.02899,24520.05181,25259.54398,26355.1263,25809.7506,26747.24932,27298.8321,27121.32697,26991.19734,27551.39439,27514.09656,27669.83568,27495.55003,27330.23505,27224.44242,27559.79764,27560.94913,27230.74103,27849.13653,27814.37286,27756.35203,27733.28155,27409.6922,27057.39524,26689.13467,27839.44293,26020.40527,26132.23814,26088.18325,26369.96141,25872.03,25300.03819
24976.69831,25800.35462,25896.78316,25464.1918,25591.18154,25946.99582,26223.99825,25946.28705,26384.86335,26142.23588,25744.17341,25678.51332,25415.30562,25191.04975,25043.37582,24837.11955,24101.84043,23317.21912,22752.87127,22515.1827,22268.89535,21976.16312,22081.18098,22202.00948,21986.70303,22316.835,22819.64206,22779.4935,22978.54951,23500.63421,24479.92635,25211.38013,25236.46451,25613.72153,24990.07474,23960.27942,22644.55541,22142.91608,21017.89536,20426.00099,19823.83462,18992.2022,19048.84306,19391.20902,19004.91103,19124.38217,17392.58701,17367.78145,16798.44968,16807.74236,16913.99344,16807.02824,17095.43114,16983.87444,17239.57901,17312.57524,17330.88252,17614.81022,17541.63932,18059.03473,18517.59503,18831.24828,19912.99845,21679.5572,22253.06156,22595.85939,23590.58789,25253.62317,26539.72641,26966.84739,27899.39114,27945.49774,27707.7821,27450.59502,27702.24919,27537.78212,27689.57466,27318.32749,27662.57315,27360.49679,27235.74485,26896.33657,26879.39005,27831.5145,27613.36358,27771.27904,27767.88823,27290.03389,27281.94022,27611.996,27361.1863,27001.95,26369.573,25961.48945,25242.18199,24993.75324
24644.52849,25381.70274,25491.5417,25401.81894,25338.38869,25978.02741,26081.30999,26383.87613,26735.03141,26263.26554,26296.53368,26463.21652,26685.7333,26393.76911,26436.13434,26216.4828,25846.32528,25752.87999,25521.59266,25136.67509,25117.4418,25181.26536,25371.34358,25222.04343,25564.90821,25769.12451,24946.75671,24608.88786,24501.23118,25403.91343,25403.76059,26469.20619,26400.48323,26685.23471,26169.64801,25818.39094,25962.86715,24832.26567,23943.49589,23342.57799,21853.36442,21414.66637,20757.21831,20560.19556,20099.02503,19758.48451,19586.81502,19163.48981,18150.32706,17921.63864,17868.46759,17896.88303,18071.6376,18481.80555,18589.37154,18679.61729,19000.84712,19399.07711,19521.0821,20517.93086,20569.06488,21072.58479,22162.49531,23210.45086,23868.73845,23871.21205,25899.18091,26657.06351,27375.80136,28000.22898,28773.4229,28981.76065,28615.48592,28296.93071,28423.38953,28244.86922,27838.42169,27885.65433,27691.99803,27507.03742,27368.93866,27295.33408,27507.48133,28344.35499,28186.88891,28088.10597,27698.00555,27113.40469,26722.63113,26466.30067,26262.67612,25784.86512,25312.5856,24576.73742,23968.2137,23652.32218
23371.13568,23708.21308,23806.84968,23699.10188,23602.65731,24377.42202,24686.95257,24728.09761,24891.2253,24743.95902,24614.14509,24603.62043,24531.97629,24663.81456,24473.28531,24444.71627,24256.7786,24318.5065,24227.97177,24708.04821,24445.08044,24194.36713,24156.05275,23958.47611,23519.60472,24265.11653,25094.63668,25376.71604,25685.55204,26689.93976,26753.90929,27197.09901,27991.66115,29167.95139,29586.85925,28868.22227,28092.2397,27884.59862,27055.4181,26030.5602,25305.08355,23883.3371,23255.22952,22395.94064,21767.58542,21680.87724,21332.46735,20593.1906,19148.02523,18527.53966,17987.86497,18135.2226,18359.6747,19211.23842,19763.55745,19908.97212,20409.30475,20714.15316,22019.28691,23001.43334,24093.51685,25302.79749,26185.0982,27263.17033,27157.83242,26333.54975,27028.85976,27179.55122,27918.70444,28460.93984,28789.19918,28793.65588,28278.91045,27707.46051,27581.90025,27142.93455,26657.99976,26693.23325,26496.63484,26176.68413,25833.62591,26400.62914,27555.64974,28835.46244,29062.9199,28712.12638,28586.1108,28308.80266,27586.03007,27508.80101,27534.89634,26873.88621,26530.61108,25664.64355,25472.05155,25281.92496
25070.18917,25517.94764,25401.27416,25849.82467,25937.70899,26706.36057,26582.03249,26958.20945,27365.58152,27057.35093,27080.26959,26729.54593,26745.87539,26498.88783,26437.3092,26294.79336,25829.35261,25994.32465,26099.06138,25957.93397,25673.8609,25422.4018,25333.07219,25321.99764,24691.16826,25551.43852,25781.8033,25650.6046,25854.00993,26532.03119,26784.16021,27348.81495,27921.65018,28525.01574,29479.69016,29059.95742,28748.06002,29729.27985,30080.51243,30196.10662,29597.85513,28552.54319,27880.87206,26884.08827,26641.1336,26170.91542,25445.96128,24739.77526,22878.45383,21351.82846,21131.56014,20773.09998,20755.71066,21552.8712,21805.09813,22242.00707,22222.74354,22304.97445,22518.47678,22940.70405,23263.72126,23817.88562,24623.21945,25572.93873,25606.90845,25778.43372,25973.12151,26801.09498,27392.79752,27970.88073,28375.71866,28656.43546,28156.64722,27694.9092,27443.5062,26996.30059,26442.23174,26751.70728,26516.43675,26090.37672,26682.53045,28055.93994,28264.40487,28487.99844,28486.86164,28376.30972,27984.55392,28356.39591,27803.51129,28012.91523,27680.61697,27101.09915,26808.65065,26191.3198,25875.76348,25621.07133
25264.53814,25823.94939,25643.65408,25644.18742,25327.38021,26016.70404,25665.76995,25662.70019,25446.68871,25455.45342,25383.77524,25099.97614,24941.5515,24763.16426,24640.82784,24862.26594,24879.25554,25062.54101,24615.16611,24559.54605,25022.49324,24673.86379,24958.50915,25557.94481,25377.36319,26174.65124,26268.46261,26279.1992,26393.8076,26915.36253,27144.32449,27239.42423,27255.17363,28127.3444,27791.29573,27040.1394,25635.44054,25141.77892,23838.12597,23404.9049,22953.93745,21953.71533,21156.79972,20859.58163,20229.66465,21564.4506,20084.43422,19416.62442,17328.38648,16782.36018,16908.36833,17085.73076,16946.38144,17566.94666,18342.2118,18502.80791,18802.46579,19404.05374,18782.50507,18555.0587,19073.62147,19261.52848,19796.20133,22039.15086,23655.12251,24733.64971,25431.84592,26110.97624,26632.92286,26862.0534,27467.2281,27365.35139,26801.87639,26372.94101,26235.96558,25998.14792,25664.22101,26086.83438,25509.46754,25625.29319,25106.51637,25508.13496,25347.15926,25402.61147,25371.57133,25077.20259,24581.3568,24692.66436,23811.88344,23897.16945,23482.61034,23114.9381,22827.01929,22113.96083,21853.55298,21207.15739
